City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
515,Ranong,TH,80.04,moderate rain,9.9658,98.6348,Tinidee Hotel@Ranong
516,Makat,KZ,86.36,broken clouds,47.6469,53.3463,Umit
518,Pontianak,ID,75.18,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
519,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
524,Avera,US,76.71,overcast clouds,33.194,-82.5271,
525,Finschhafen,PG,81.18,overcast clouds,-6.6024,147.8681,Cossam Guest House
526,Gannan,CN,78.03,few clouds,47.9147,123.5031,Gannan Supply and Marketing Cooperatives Hostel
529,Mahibadhoo,MV,82.31,broken clouds,3.7833,72.9667,Omadhoo Inn
540,Mainaguri,IN,80.08,overcast clouds,26.5667,88.8167,Suncity Resort Lataguri
541,Eqbaliyeh,IR,85.82,clear sky,35.3022,51.5358,باغ ویلا طاهری
542,Excelsior Springs,US,88.5,scattered clouds,39.3392,-94.2261,The Elms Hotel & Spa
543,Hede,CN,79.77,broken clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
544,Vanimo,PG,75.92,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
545,Mangrol,IN,82.72,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
547,Langarud,IR,81.81,clear sky,37.197,50.1535,ستاد اسکان فرهنگیان لنگرود
549,Itaituba,BR,80.06,few clouds,-4.2761,-55.9836,Hotel Campos
550,Mangan,IN,75.96,overcast clouds,27.5167,88.5333,Hotel Mout View
553,Sarangani,PH,84.13,scattered clouds,5.4033,125.4636,Ballistic Islet
554,Chubbuck,US,82.29,broken clouds,42.9208,-112.4661,Clarion Inn Pocatello
559,Aripuana,BR,77.85,clear sky,-9.1667,-60.6333,
562,Kirakira,SB,83.79,few clouds,-10.4544,161.9205,SanBiz Lodge
563,Sinjai,ID,75.76,overcast clouds,-5.1241,120.253,Wisma Sandika
565,Pirojpur,BD,80.24,overcast clouds,22.5667,89.9833,"Circuit House, Pirojpur"
566,Jizan,SA,79.74,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
567,Tra Vinh,VN,76.59,overcast clouds,9.9347,106.3453,Hồng Ân
568,Ajdabiya,LY,77.56,clear sky,30.7554,20.2263,Almadina Hotel
572,Lac Du Bonnet,CA,81.64,overcast clouds,50.2536,-96.0612,Casey's Inn Motor Hotel
573,Aleksandrov Gay,RU,78.73,few clouds,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
574,Russell,US,77.95,broken clouds,32.3502,-85.1999,Macs
579,Axim,GH,75.38,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
580,Kupang,ID,77.58,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
581,Preeceville,CA,75.42,overcast clouds,51.95,-102.6677,Golden West Hotel
585,Trairi,BR,79.02,clear sky,-3.2778,-39.2689,janelas do mar
586,Mana,GF,78.49,scattered clouds,5.6592,-53.7767,LE SAMANA
587,Fukue,JP,79.95,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
588,Wagar,SD,77.16,overcast clouds,16.1525,36.2032,
589,Lagos,NG,79.12,overcast clouds,6.5833,3.75,
590,Turkan,AZ,78.98,clear sky,40.3639,50.215,Samir Зона Отдыха
591,Korla,CN,77.52,scattered clouds,41.7597,86.1469,Gulisitan Hotel
592,Pervomayskoye,RU,75.56,clear sky,43.919,46.7102,
594,Rexburg,US,89.58,clear sky,43.826,-111.7897,AmericInn by Wyndham Rexburg BYUI
599,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
601,Alugan,PH,80.51,overcast clouds,12.2188,125.4808,JM Lodge
604,Rawlins,US,82.29,scattered clouds,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
605,Pundaguitan,PH,83.88,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
606,Puerto Lempira,HN,84.34,broken clouds,15.2667,-83.7667,Hotel Yu baiwan
613,Holland,US,83.03,clear sky,42.7875,-86.1089,Hampton Inn Holland
621,Monte Alegre,BR,79.75,broken clouds,-2.0078,-54.0692,Hotel Shekinah
622,Lacolle,CA,76.28,moderate rain,45.0834,-73.3659,Motel Lacolle
623,Berezovyy,RU,81.88,broken clouds,51.6667,135.7,"Hotel ""Phoenix"""
626,Tucuma,BR,76.78,few clouds,-0.1833,-50.05,
630,High Level,CA,75.31,smoke,58.5169,-117.136,Days Inn by Wyndham High Level
633,Bitung,ID,79.65,overcast clouds,1.4451,125.1824,K2 Lembeh
634,Hutchinson,US,88.2,clear sky,38.0608,-97.9298,OYO Hotel Hutchinson KS West 4th Ave
635,Malindi,KE,75.96,clear sky,-3.2175,40.1191,African House Resort
637,Canutama,BR,79.83,clear sky,-6.5339,-64.3831,Hotel Jhennifer
644,Turayf,SA,84.45,clear sky,31.6725,38.6637,Turaif
649,Kant,IN,78.55,heavy intensity rain,27.8,79.8,Haseeb Khan shatreng
655,Whitehorse,CA,75.02,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
661,Zhoucheng,CN,75.27,light rain,35.9122,116.3117,Yingbin Restaurant
665,Show Low,US,89.31,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
666,Miragoane,HT,84.7,scattered clouds,18.4423,-73.0876,MMM K-TICHON
669,Oussouye,SN,86.18,overcast clouds,12.485,-16.5469,Auberge du Routard
670,Hongjiang,CN,77.02,broken clouds,27.11,109.9956,洪江大酒店
671,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
674,Waterboro,US,80.38,clear sky,43.5356,-70.7151,Walnut Grove Campground
