City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
349,Khani,GE,71.17,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
354,Mahibadhoo,MV,83.3,overcast clouds,3.7833,72.9667,Omadhoo Inn
356,Ipora,BR,74.55,few clouds,-16.4419,-51.1178,Oásis Motel
361,Domoni,KM,75.02,clear sky,-12.2569,44.5319,Al Djadid
363,Uthal,PK,83.19,broken clouds,25.8072,66.6219,Al-Mustafa Hotel
366,Saint-Cyr-Sur-Loire,FR,70.05,clear sky,47.4,0.6667,The Heraudiere bed and breakfast
372,Dingle,PH,77.34,light rain,10.9995,122.6711,SEGAYA PROPERTY
373,Asfi,MA,70.43,few clouds,32.2994,-9.2372,Hôtel Abda
374,Lorengau,PG,82.11,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
379,Shingu,JP,78.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
380,Carauari,BR,82.31,few clouds,-4.8828,-66.8958,Hotel Fellip
381,Kouroussa,GN,74.52,scattered clouds,10.65,-9.8833,Hotel Paillote
386,Eydhafushi,MV,82.42,overcast clouds,5.1033,73.0708,Soneva Fushi
387,Santa Cruz,BO,74.3,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
388,Barra Do Garcas,BR,77.54,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
392,Jefferson City,US,87.66,clear sky,38.5767,-92.1735,DoubleTree by Hilton Hotel Jefferson City
396,Tucumcari,US,89.44,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
397,Tecoanapa,MX,87.96,few clouds,16.5167,-98.75,Hotel Manglares
400,Altus,US,87.87,clear sky,34.6381,-99.334,"Holiday Inn Express & Suites Altus, an IHG Hotel"
402,San Andres,CO,84.22,haze,12.5847,-81.7006,Hotel Arena Blanca
405,Camapua,BR,71.62,clear sky,-19.5314,-54.0439,Comercial Estrela
407,Norman Wells,CA,83.12,overcast clouds,65.282,-126.8329,Heritage Hotel
408,Watertown,US,82.29,haze,42.3709,-71.1828,Sonesta International Hotels Corporation
409,Amberley,US,82.2,few clouds,39.2048,-84.428,"Motel 6 Cincinnati, OH - Central - Norwood"
410,Iwaki,JP,82.24,few clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
411,Nishihara,JP,80.26,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
413,Asilah,MA,75.16,clear sky,35.465,-6.0348,Hotel Zelis
414,Gizo,SB,81.73,light rain,-8.103,156.8419,Imagination Island
415,Nouakchott,MR,76.93,few clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
418,Poum,NC,72.19,few clouds,-20.2333,164.0167,Gîte kajeon
419,Hondo,JP,77.95,overcast clouds,32.45,130.2,ホテル河丁
420,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
422,Moratuwa,LK,80.29,overcast clouds,6.773,79.8816,Sa Mansion By Yoho
423,Digby,CA,72.7,scattered clouds,44.6169,-65.7655,Digby Pines Golf Resort & Spa
424,Ewa Beach,US,80.55,light intensity drizzle,21.3156,-158.0072,Uncle Junior Robert
427,Concarneau,FR,73.69,scattered clouds,47.875,-3.9225,Brit Hotel de L' Océan
430,Gemena,CD,73.27,overcast clouds,3.25,19.7667,Hôtel Goshen
431,Progreso,MX,80.71,few clouds,21.2833,-89.6667,Playa Linda Hotel
433,Inuvik,CA,88.52,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
436,Fomboni,KM,76.69,clear sky,-12.28,43.7425,Pension Paradis
438,Lewiston,US,74.64,broken clouds,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
445,Sumenep,ID,77.81,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
447,Kudahuvadhoo,MV,82.35,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
448,Jiayuguan,CN,70.68,broken clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
449,Storm Lake,US,85.33,clear sky,42.6411,-95.2097,King's Pointe Resort
451,Sinnamary,GF,80.53,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
453,Khromtau,KZ,75.54,broken clouds,50.2503,58.4347,Придорожный сервис Кең Дала
455,High Level,CA,81.18,few clouds,58.5169,-117.136,Days Inn by Wyndham High Level
456,Hearst,CA,74.5,overcast clouds,49.6835,-83.6665,Companion
460,Pandan,PH,81.61,overcast clouds,14.0453,124.1694,Bonifacio Lodge
461,Hadgaon,IN,72.9,moderate rain,19.5,77.6667,Ayan khan
465,Piney Green,US,89.19,clear sky,34.716,-77.3202,Holiday City Mobile Home Community
467,Hasaki,JP,77.4,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
470,Samarai,PG,77.5,overcast clouds,-10.6167,150.6667,Nuli Sapi
480,Eureka,US,79.66,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
483,Tomatlan,MX,89.82,few clouds,19.9333,-105.25,El Salvial
484,Abu Zabad,SD,73.83,overcast clouds,12.35,29.25,حامد محمد نور
488,Chumikan,RU,71.62,broken clouds,54.7183,135.315,Fortuna
492,Cuencame,MX,70.18,overcast clouds,24.8711,-103.6964,Hotel La Casa Del Viajero
495,Naze,JP,79.72,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
496,Kamarion,GR,80.02,clear sky,36.8,25.8167,Rooms Eleni
500,Ikirun,NG,71.35,overcast clouds,7.9167,4.6667,Turode Hotel
502,Grand Forks,US,81.59,haze,47.9417,-97.4337,Warrior Inn
506,Cabedelo,BR,74.07,clear sky,-6.9811,-34.8339,Hotel Pigalle
511,Flin Flon,CA,86.5,few clouds,54.7682,-101.865,Victoria Inn Flin Flon
515,Le Vauclin,MQ,84.25,overcast clouds,14.5452,-60.8388,Hôtel Cap Macabou
517,Toma,BF,85.59,overcast clouds,12.7667,-2.8833,Auberge de l'amitié
519,Mbandaka,CD,75.33,broken clouds,0.0487,18.2603,Guest House Epervier
526,Miri,MY,77.18,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
529,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
