City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Maymyo,MM,22.0333,96.4667,69.17,98,99,1.16,light rain
305,Oranjemund,NA,-28.55,16.4333,50.74,72,1,11.23,clear sky
306,Gaziantep,TR,37.0594,37.3825,73.33,53,0,4.61,clear sky
307,Sakakah,SA,29.9697,40.2064,99.97,16,8,7.83,clear sky
308,Sur,OM,22.5667,59.5289,90.07,62,72,8.46,broken clouds
309,Kovvur,IN,17.0167,81.7333,77.27,90,100,11.99,light rain
310,Batemans Bay,AU,-35.7167,150.1833,50.92,52,24,14.05,few clouds
311,Bocholt,DE,51.8333,6.6,62.82,87,0,5.61,clear sky
312,Baykit,RU,61.67,96.37,55.83,82,20,0.89,few clouds
313,Kanniyakumari,IN,8.0833,77.5667,78.67,81,70,21.72,broken clouds
314,Touros,BR,-5.1989,-35.4608,77.9,76,7,14.7,clear sky
315,Paraiso,CR,9.8383,-83.8656,79.66,71,44,4.7,scattered clouds
316,Viedma,AR,-40.8135,-62.9967,50.23,64,12,4.7,few clouds
317,Torbay,CA,47.6666,-52.7314,70.57,95,90,12.66,overcast clouds
318,Verkhoyansk,RU,67.5447,133.385,64.87,55,100,13.33,overcast clouds
319,Stokmarknes,NO,68.5646,14.9108,50.49,81,100,12.17,overcast clouds
320,Sabang,ID,5.8933,95.3214,82.53,76,98,24.81,overcast clouds
321,Benguela,AO,-12.5763,13.4055,69.62,84,76,3,broken clouds
322,Puerto Ayacucho,VE,5.6639,-67.6236,77.31,85,82,0.47,broken clouds
323,Rawson,AR,-43.3002,-65.1023,51.82,50,57,10.8,broken clouds
324,Conceicao Do Castelo,BR,-20.3683,-41.2439,53.26,79,84,2.93,broken clouds
325,Road Town,VG,18.4167,-64.6167,86.09,74,20,12.66,few clouds
326,Bani,DO,18.2833,-70.3333,85.44,73,8,12.1,clear sky
327,Hobyo,SO,5.3505,48.5268,76.01,84,9,22.53,clear sky
328,Kholodnyy,RU,62.7167,147.95,74.93,44,74,4.32,broken clouds
329,Ganta,LR,7.3022,-8.5308,68.88,99,48,3.53,light rain
330,Muriwai Beach,NZ,-36.8167,174.45,60.35,81,88,12.84,light rain
331,Chapais,CA,49.7834,-74.8492,65.98,39,81,7.83,broken clouds
332,Lavrentiya,RU,65.5833,-171,44.28,90,100,8.03,moderate rain
333,Bundaberg,AU,-24.85,152.35,55.69,50,0,8.05,clear sky
334,Mao,ES,39.8885,4.2658,73.96,83,0,5.75,clear sky
335,Pisco,PE,-13.7,-76.2167,62.65,82,90,8.05,overcast clouds
336,Chicama,PE,-7.8447,-79.1469,64.94,74,9,7.05,clear sky
337,Margate,GB,51.3813,1.3862,67.1,82,27,1.01,scattered clouds
338,Dwarka,IN,22.2394,68.9678,82.87,84,97,27.02,overcast clouds
339,Mudanjiang,CN,44.5833,129.6,76.33,87,84,2.73,broken clouds
340,Saint-Joseph,RE,-21.3667,55.6167,70.18,79,26,14.58,scattered clouds
341,Opuwo,NA,-18.0607,13.84,59.13,36,0,6.67,clear sky
342,Corrente,BR,-3.7367,-43.3394,73.33,91,56,3.51,light rain
343,Qasigiannguit,GL,68.8193,-51.1922,53.85,72,85,3.18,overcast clouds
344,Opunake,NZ,-39.4556,173.8583,53.35,80,90,16.6,light rain
345,Marawi,PH,7.9986,124.2928,69.66,80,79,4.38,light rain
346,Aklavik,CA,68.2191,-135.0107,83.23,36,1,13.8,haze
347,Biak,ID,-0.9131,122.8766,75.36,88,67,5.95,broken clouds
348,Provideniya,RU,64.3833,-173.3,51.91,71,75,6.71,light rain
349,Tomatlan,MX,19.9333,-105.25,89.04,63,13,8.25,few clouds
