City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Ribeira Grande,PT,2021-07-14 19:32:10,38.5167,-28.7,73.8,83,40,10.36
124,Zykovo,RU,2021-07-14 19:32:10,55.9519,93.1461,61.54,89,62,3.11
125,Beringovskiy,RU,2021-07-14 19:32:10,63.05,179.3167,55.63,73,8,6.89
126,Carnarvon,AU,2021-07-14 19:32:11,-24.8667,113.6333,57.27,61,79,9.22
127,Mount Gambier,AU,2021-07-14 19:31:32,-37.8333,140.7667,51.71,100,90,8.05
128,Ilulissat,GL,2021-07-14 19:32:11,69.2167,-51.1,41.02,93,90,11.5
129,Karasburg,NA,2021-07-14 19:32:12,-28.0167,18.75,42.37,26,0,11.7
130,Brattleboro,US,2021-07-14 19:32:12,42.8509,-72.5579,88.27,81,25,4.0
131,Hambantota,LK,2021-07-14 19:32:12,6.1241,81.1185,79.23,79,100,11.23
132,Ustynivka,UA,2021-07-14 19:32:13,47.9551,32.5367,70.18,54,0,6.15
133,Nganjuk,ID,2021-07-14 19:32:13,-7.6051,111.9035,73.06,84,97,9.26
134,Vadso,NO,2021-07-14 19:32:14,70.0744,29.7487,56.28,71,75,1.14
135,Xique-Xique,BR,2021-07-14 19:32:14,-10.8218,-42.7263,81.91,49,2,11.61
136,Arraial Do Cabo,BR,2021-07-14 19:27:20,-22.9661,-42.0278,80.56,73,0,12.66
137,Torbay,CA,2021-07-14 19:32:14,47.6666,-52.7314,76.75,41,5,6.44
138,Romanovka,RU,2021-07-14 19:32:15,51.7443,42.7527,69.78,85,44,4.54
139,Diamantino,BR,2021-07-14 19:32:15,-14.4086,-56.4461,93.85,16,0,6.38
140,Marsa Matruh,EG,2021-07-14 19:32:15,31.3525,27.2453,80.8,78,0,5.75
141,Valreas,FR,2021-07-14 19:32:16,44.3837,4.9908,67.32,79,100,10.25
142,Kahului,US,2021-07-14 19:32:16,20.8947,-156.47,83.97,73,20,18.41
143,Svetlaya,RU,2021-07-14 19:32:17,46.5389,138.3297,66.42,94,100,8.14
144,Haines Junction,CA,2021-07-14 19:32:17,60.7522,-137.5108,46.08,92,100,3.49
145,Sisimiut,GL,2021-07-14 19:32:17,66.9395,-53.6735,43.79,92,98,5.99
146,Geraldton,AU,2021-07-14 19:31:27,-28.7667,114.6,57.61,82,90,16.11
147,Kollegal,IN,2021-07-14 19:32:18,12.15,77.1167,71.1,84,100,11.12
148,Seoul,KR,2021-07-14 19:30:09,37.5683,126.9778,78.4,88,0,3.44
149,Tuktoyaktuk,CA,2021-07-14 19:32:18,69.4541,-133.0374,37.83,75,100,20.36
150,Puerto Ayora,EC,2021-07-14 19:32:19,-0.7393,-90.3518,80.56,76,61,12.5
151,Constantine,DZ,2021-07-14 19:29:00,36.365,6.6147,72.81,53,20,11.5
152,Provideniya,RU,2021-07-14 19:32:19,64.3833,-173.3,44.71,87,90,8.95
153,Adrar,MR,2021-07-14 19:32:20,20.5022,-10.0711,102.65,12,68,9.64
154,East London,ZA,2021-07-14 19:32:20,-33.0153,27.9116,55.78,60,0,7.94
155,Esperance,AU,2021-07-14 19:32:20,-33.8667,121.9,51.64,66,70,34.47
156,Airai,TL,2021-07-14 19:32:21,-8.9266,125.4092,56.55,83,100,3.06
157,Xichang,CN,2021-07-14 19:32:21,27.8964,102.2634,67.3,93,100,2.37
158,Kapit,MY,2021-07-14 19:32:21,2.0167,112.9333,71.8,100,100,2.3
